trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-94.66318359042958,"{0: 4, 1: 2, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-66.5775542251621,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-58.621487794923965,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-105.91225684093418,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-82.24399000445374,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,4.718076599010336,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.95334331783661,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-37.676770955641345,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-52.965059290335276,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-46.174969973069096,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,1,-55.82745755259386,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-138.07337763300256,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,1,-36.16147621809011,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-45.83905868554628,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,11.706127832581041,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-11.461102395197976,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,13.049462797584887,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,3,26.652951332883077,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,21,22.01806322600245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,18.461391677845857,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,23,13.728913229096397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,28.09802453150988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,11,32.819067734453874,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,14,33.586313370639154,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,31.689101661537194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,27.898850025129942,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,17,18.784065127345816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,34.7892396594806,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,19.60812174327037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,13,32.23995369732778,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
