trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.97}",20,0,-151.2072309728673,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.9409}",30,0,-173.15036814075063,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.912673}",25,0,-77.65369993660181,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.8852928099999999}",20,0,-115.08519129752106,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.8587340256999999}",25,0,-69.306396859636,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.8329720049289999}",25,0,-87.71298426091752,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.8079828447811299}",30,0,-162.35033502120243,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.783743359437696}",20,0,-85.56068552166104,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.7602310586545651}",25,0,-137.33832482279766,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.2, 'e': 0.7374241268949281}",20,0,-92.96856083714665,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.7153014030880802}",35,10,-52.444311531815835,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.6938423609954378}",20,0,-119.1814292136181,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.6730270901655747}",20,2,-116.75912990703144,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.2, 'e': 0.6528362774606075}",20,0,-11.5478543898167,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.6332511891367892}",25,17,6.549277856769815,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.6142536534626856}",20,0,-61.85340213144057,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.595826043858805}",20,0,-55.93991739371455,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.5779512625430409}",20,0,-104.72319389618767,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.5606127246667496}",25,0,-110.95114366183081,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.5437943429267471}",30,15,-75.03060831719584,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 1}",1
21,False,"{'a': 0.2, 'e': 0.5274805126389447}",20,14,-5.943889192152053,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.5116560972597763}",25,18,-22.632536110206036,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.496306414341983}",20,0,-70.81748945662608,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.48141722191172354}",20,8,-53.31443775442449,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.2, 'e': 0.4669747052543718}",30,15,-24.100705006316122,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.4529654640967406}",35,7,5.817608640099668,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.2, 'e': 0.4393765001738384}",25,0,-150.479668957672,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.2, 'e': 0.42619520516862325}",30,9,-18.758669313358165,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.2, 'e': 0.4134093490135645}",30,18,2.4005407800258447,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.4010070685431576}",25,0,-81.14573615528661,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.38897685648686287}",25,4,7.017424621719868,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.377307550792257}",20,10,7.092775821920954,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.36598832426848926}",25,6,16.161225264141198,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.2, 'e': 0.35500867454043455}",20,0,-24.88799776534265,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.3443584143042215}",20,0,-36.91800961190982,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.3340276618750948}",20,0,12.134714116555816,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.2, 'e': 0.32400683201884195}",20,15,1.6344769146444502,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.3142866270582767}",20,15,7.160247459105158,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.3048580282465284}",30,0,17.026024207335002,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.2, 'e': 0.2957122873991326}",30,0,31.977217511738736,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.2868409187771586}",30,8,-7.727845491680828,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.27823569121384384}",25,13,-5.781633471886285,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.2698886204774285}",20,5,-20.160779281876067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.2, 'e': 0.26179196186310566}",25,0,13.5936832853776,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.2, 'e': 0.2539382030072125}",35,25,17.821562510985444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.2463200569169961}",20,0,5.238330874602962,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.23893045520948622}",20,0,-0.7106824497279667,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.23176254155320164}",25,0,-53.9945659239332,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.2248096653066056}",25,0,18.120425878127786,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.21806537534740741}",20,2,-72.3947155339572,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
51,False,"{'a': 0.2, 'e': 0.2115234140869852}",20,13,10.756299273793365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.20517771166437562}",30,0,-20.32761726392296,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.19902238031444436}",25,13,10.83172051268025,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.19305170890501103}",30,0,-29.531653456708575,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.1872601576378607}",30,15,27.324030727138428,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.18164235290872485}",20,0,-34.78853925061909,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.2, 'e': 0.1761930823214631}",25,8,29.177760674913984,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.17090728985181922}",30,20,19.72958434000242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.16578007115626464}",25,12,12.607777249985192,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.1608066690215767}",25,0,-33.417172934143295,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.1559824689509294}",25,8,6.210506085506367,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.1513029948824015}",30,10,28.34014382770562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.14676390503592945}",30,13,-17.2932878885238,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
