trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,13,-78.99149465376713,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-113.79179211377674,"{0: 17, 1: 0, 2: 13, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-84.67415817421033,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-136.55711436230075,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-114.74321382744543,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-50.303980987142275,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-113.69895425961163,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-182.58733850857516,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-164.59018101059803,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-140.65656167216446,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,19,-17.30907340384297,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-94.84429049115073,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-88.71485620044126,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-140.69112048572163,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-200.1513523487709,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-69.15753326033457,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-44.11935287709677,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-111.87142606788605,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-171.97123985349867,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-54.95100685395496,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,16,-58.80135099441264,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-54.901842385435316,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-115.57153473801334,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-56.71400943895784,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-211.30246036771356,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-119.94778990303536,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-57.18065159134987,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-94.97536655798741,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-146.99367796909067,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-93.60810988553678,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
